First Line
LoanId,OrderId,PortfolioId,NoteId,PortfolioName,Invested,InterestRate,Grade,LoanType,Term,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Note Issue Date,OrderDate,LoanStatusDate,Pending Principal Payment,Pending Interest,Purchased,installment,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,Loan Issue Date,1st Month Payment
724971,2343790,632254,8892055,Late,50.0,15.809999999999999%,C4,Personal,36,6.840034761663,DOWN,1,0.0625945451140625,56.0285937497,11/28/2014,Current,02/21/2012,02/19/2012,06/11/2012,0.0,0.0,0,673.22,PowerTek,< 1 year,MORTGAGE,129547,Source Verified,2012-02-13,2012-02-27,2012-02-13,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=724971,  Borrower added on 02/15/12 > Consolidation of several small loans to improve cash flow.<br><br>  Borrower added on 02/15/12 > Consolidation of several small loans and to lower interest rates.<br>,small_business,Home improvements,662xx,KS,0,,,,,13.38,0,0,2004-06-24,685,689,1,64,,,,,,11,0,,12530,88.9%,,18,f,2622.91,2622.91,21520.039999999997,21520.04,16577.09,4942.95,0.0,0.0,0.0,2014-10-31,673.22,2014-11-28,2014-11-08,679,675,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02/21/2012,
779809,3767679,572512,15346800,2012 36 m,25.0,13.11%,B4,Personal,36,10.213078838983,DOWN,1,0.11457532833809402,19.3494285712,11/17/2014,Current,11/08/2012,11/06/2012,06/20/2013,0.7325410597762857,0.11113751165228572,0,1181.15,Columbus IT Partner,4 years,MORTGAGE,95000,Verified,2012-11-04,2012-11-18,2012-11-04,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=779809,  Borrower added on 11/04/12 > The last couple of years has resulted in a credit card nightmare. We are not late on our payments but want to see the end in sight. We are hoping that this loan would wipe out all our credit card debt and put us on track to debt recovery!<br>,debt_consolidation,Debt consolidation,601xx,IL,0,2,9530,33.3,64,21.01,0,0,2001-07-05,725,729,0,69,,17,,39,6,10,0,54020,17020,52.5%,26500,17,w,14250.75,14128.53,27154.3,26921.66,20749.25,6405.05,0.0,0.0,0.0,2014-10-22,1181.15,2014-12-17,2014-10-09,644,640,61458,7,,0,0,0,0,0,,10,0,16,400308,349816,38868,4,2,3,94,0,0,0,3,46,3,109,27,32400,3,6,0,11/08/2012,
838894,2484344,572512,9492682,2012 36 m,75.0,9.76%,B1,Personal,36,4.4E-11,DOWN,1,0.0,85.3373772321,05/01/2014,Fully Paid,03/21/2012,03/19/2012,04/25/2014,0.0,0.0,0,482.32,Capital One,1 year,RENT,84500,Verified,2012-03-13,2012-03-27,2012-03-13,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=838894,  Borrower added on 03/13/12 > I am trying to pay off my debt at a lower rate. I have ~15k in debt with average interest rate of 19%. I assure you that my payments will be on time and the loan will be paid off on time.<br>,debt_consolidation,Refinance loans,230xx,VA,0,,,,,17.75,0,0,2001-03-11,725,729,1,,,,,,,12,0,,12761,72.9%,,25,f,0.00,0.00,17065.8017982451,17065.80,15000.00,2065.80,0.0,0.0,0.0,2014-04-07,5988.5,,2014-11-06,699,695,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,03/21/2012,
1076743,2654956,572939,10348412,2012 60 m,50.0,16.29%,C5,Personal,60,30.026762904845,UP,1,0.1628327637178892,36.6328124997,12/06/2014,Current,05/01/2012,04/27/2012,06/05/2012,0.0,0.0,0,469.88,winston & strawn llp,1 year,MORTGAGE,237000,Verified,2012-04-21,2012-05-05,2012-04-21,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1076743,,major_purchase,rent house,774xx,TX,0,3,1417,0,45.5,12.95,0,0,1997-11-01,765,769,7,,,4,,66,3,11,0,161621,1183,45.5%,2600,49,f,11522.44,11492.41,14082.33,14045.70,7677.56,6404.77,0.0,0.0,0.0,2014-11-12,469.88,2014-12-06,2014-10-09,789,785,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,05/01/2012,
1106283,2343790,572512,8892065,2012 36 m,50.0,17.27%,D1,Personal,36,7.057728259566,DOWN,1,0.060914755620107404,57.0445454546,11/30/2014,Current,02/24/2012,02/19/2012,03/29/2012,0.0,0.0,0,236.2,Wawa,< 1 year,RENT,45020,Verified,2012-02-15,2012-02-29,2012-02-15,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1106283,  Borrower added on 02/20/12 > This loan is to refinance 4 high APR credi cards.  I have been employed steadily for the past 20 years never bein out of a job.<br>,credit_card,Credit Consolidation for one restarting,191xx,PA,0,,,,,18.1,0,0,1999-04-13,660,664,3,52,,,,,,15,0,,19008,43.1%,,28,f,926.61,926.61,7537.010000000001,7537.01,5673.39,1863.62,0.0,0.0,0.0,2014-11-04,236.2,2014-11-30,2014-10-09,519,515,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02/24/2012,
1109734,2343790,572512,8892063,2012 36 m,50.0,13.99%,C1,Personal,36,6.788458838378,UP,1,0.051598449733333336,54.4780000003,11/29/2014,Current,02/22/2012,02/19/2012,03/28/2012,0.0,0.0,0,410.08,,1 year,OWN,65000,Verified,2012-02-14,2012-02-28,2012-02-14,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1109734,,home_improvement,emerald city,480xx,MI,0,,,,,10.1,0,0,1998-01-28,715,719,1,,,,,,,3,0,,6503,67.7%,,5,f,1614.04,1614.04,13094.96,13094.96,10385.96,2709.00,0.0,0.0,0.0,2014-11-03,410.08,2014-11-29,2014-10-09,729,725,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02/22/2012,
1117569,2389547,572939,9071021,2012 60 m,25.0,21.48%,E4,Personal,60,14.970607169083,DOWN,1,0.07131569574046925,21.7879642861,12/10/2014,Current,03/02/2012,02/28/2012,04/09/2012,0.0,0.0,0,573.81,Operating Engineers FCU,2 years,OWN,53000,Verified,2012-02-24,2012-03-09,2012-02-24,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1117569,,other,Startup Business,945xx,CA,0,,,,,11.69,0,0,2005-05-01,685,689,0,,,,,,,3,0,,5658,89.8%,,3,f,12562.69,12547.72,18331.79,18296.34,8437.31,9894.48,0.0,0.0,0.0,2014-11-14,573.81,2014-12-10,2014-10-09,669,665,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,03/02/2012,
1118444,2343790,2312521,8892038,PaidOff,50.0,19.220000000000002%,D5,Personal,36,0.0,UP,1,0.0,56.56,01/02/2013,Fully Paid,03/05/2012,02/19/2012,12/07/2012,0.0,0.0,0,772.12,Mecklenburg County EMS ,< 1 year,OWN,60000,Source Verified,2012-02-17,2012-03-02,2012-02-17,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1118444,,debt_consolidation,Consolidation,280xx,NC,0,,,,,13.63,0,0,2006-01-23,665,669,2,,,,,,,10,0,,23296,54.1%,,14,f,0.00,0.00,23761.46,23761.46,21000.00,2761.46,0.0,0.0,0.0,2012-12-06,17601.23,,2012-12-21,714,710,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,03/05/2012,
1120309,2496506,572512,9552576,2012 36 m,25.0,10.74%,B2,Personal,36,0.0,UP,1,0.0,28.8665990687,06/03/2014,Fully Paid,03/26/2012,03/22/2012,05/05/2014,0.0,0.0,0,652.32,Open Systems,2 years,RENT,155000,Verified,2012-03-20,2012-04-03,2012-03-20,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1120309,,debt_consolidation,Car Loan and Credit Card repayment,073xx,NJ,0,3,9223,16.7,45.4,4.2,0,0,2004-06-30,715,719,0,,,14,,10,0,7,0,18129,7677,45.4%,16900,10,f,0.00,0.00,23110.3864752333,22994.83,20000.00,3110.39,0.0,0.0,0.0,2014-05-05,7465.05,,2014-10-09,739,735,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,03/26/2012,
1124509,2361135,632254,8962298,Late,75.0,10.74%,B2,Personal,36,9.682295474185,DOWN,1,0.0342500334311857,78.13625,12/06/2014,Current,03/01/2012,02/23/2012,08/15/2012,0.0,0.0,0,176.13,Andiamo pizza restaurant,1 year,OWN,10800,Verified,2012-02-20,2012-03-05,2012-02-20,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1124509,  Borrower added on 02/20/12 > I would Like to get a loan for personal reasons.<br>,debt_consolidation,Auto loan ,331xx,FL,0,,,,,7.22,0,0,1986-09-09,735,739,1,,,,,,,3,0,,1075,7.1%,,3,f,703.21,703.21,5618.22,5618.22,4696.79,921.43,0.0,0.0,0.0,2014-11-12,176.13,2014-12-06,2014-10-09,674,670,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,03/01/2012,
